split,disease,positive_count,sample_count,prevalence
train,Atelectasis,25,250,0.10000000149011612
train,Cardiomegaly,8,250,0.03200000151991844
train,Effusion,22,250,0.08799999952316284
train,Infiltration,35,250,0.14000000059604645
train,Mass,1,250,0.004000000189989805
train,Nodule,12,250,0.04800000041723251
train,Pneumonia,2,250,0.00800000037997961
train,Pneumothorax,6,250,0.024000000208616257
train,Consolidation,7,250,0.02800000086426735
train,Edema,3,250,0.012000000104308128
train,Emphysema,7,250,0.02800000086426735
train,Fibrosis,12,250,0.04800000041723251
train,Pleural_Thickening,8,250,0.03200000151991844
train,Hernia,2,250,0.00800000037997961
validation,Atelectasis,4,50,0.07999999821186066
validation,Cardiomegaly,0,50,0.0
validation,Effusion,6,50,0.11999999731779099
validation,Infiltration,7,50,0.14000000059604645
validation,Mass,2,50,0.03999999910593033
validation,Nodule,1,50,0.019999999552965164
validation,Pneumonia,0,50,0.0
validation,Pneumothorax,1,50,0.019999999552965164
validation,Consolidation,0,50,0.0
validation,Edema,0,50,0.0
validation,Emphysema,2,50,0.03999999910593033
validation,Fibrosis,1,50,0.019999999552965164
validation,Pleural_Thickening,5,50,0.10000000149011612
validation,Hernia,0,50,0.0
test,Atelectasis,8,50,0.1599999964237213
test,Cardiomegaly,4,50,0.07999999821186066
test,Effusion,9,50,0.18000000715255737
test,Infiltration,9,50,0.18000000715255737
test,Mass,0,50,0.0
test,Nodule,0,50,0.0
test,Pneumonia,1,50,0.019999999552965164
test,Pneumothorax,8,50,0.1599999964237213
test,Consolidation,0,50,0.0
test,Edema,3,50,0.05999999865889549
test,Emphysema,2,50,0.03999999910593033
test,Fibrosis,5,50,0.10000000149011612
test,Pleural_Thickening,1,50,0.019999999552965164
test,Hernia,0,50,0.0
