split,disease,positive_count,sample_count,prevalence
train,Atelectasis,91,1000,0.09099999815225601
train,Cardiomegaly,28,1000,0.02800000086426735
train,Effusion,83,1000,0.08299999684095383
train,Infiltration,145,1000,0.14499999582767487
train,Mass,19,1000,0.01899999938905239
train,Nodule,39,1000,0.039000000804662704
train,Pneumonia,14,1000,0.014000000432133675
train,Pneumothorax,16,1000,0.01600000075995922
train,Consolidation,25,1000,0.02500000037252903
train,Edema,13,1000,0.013000000268220901
train,Emphysema,23,1000,0.023000000044703484
train,Fibrosis,39,1000,0.039000000804662704
train,Pleural_Thickening,28,1000,0.02800000086426735
train,Hernia,2,1000,0.0020000000949949026
validation,Atelectasis,15,200,0.07500000298023224
validation,Cardiomegaly,3,200,0.014999999664723873
validation,Effusion,16,200,0.07999999821186066
validation,Infiltration,35,200,0.17499999701976776
validation,Mass,5,200,0.02500000037252903
validation,Nodule,5,200,0.02500000037252903
validation,Pneumonia,2,200,0.009999999776482582
validation,Pneumothorax,3,200,0.014999999664723873
validation,Consolidation,4,200,0.019999999552965164
validation,Edema,3,200,0.014999999664723873
validation,Emphysema,5,200,0.02500000037252903
validation,Fibrosis,7,200,0.03500000014901161
validation,Pleural_Thickening,5,200,0.02500000037252903
validation,Hernia,0,200,0.0
test,Atelectasis,30,200,0.15000000596046448
test,Cardiomegaly,24,200,0.11999999731779099
test,Effusion,31,200,0.1550000011920929
test,Infiltration,40,200,0.20000000298023224
test,Mass,9,200,0.04500000178813934
test,Nodule,5,200,0.02500000037252903
test,Pneumonia,3,200,0.014999999664723873
test,Pneumothorax,26,200,0.12999999523162842
test,Consolidation,3,200,0.014999999664723873
test,Edema,8,200,0.03999999910593033
test,Emphysema,9,200,0.04500000178813934
test,Fibrosis,12,200,0.05999999865889549
test,Pleural_Thickening,10,200,0.05000000074505806
test,Hernia,0,200,0.0
